Ref,Val,Package,PosX,PosY,Rot,Side
"BT5","SW_Push_4.2x3.3x2.5_SMD","SW_SPST_PTS810",43.599232,-4.955037,90.000000,top
"BT6","SW_Push_4.2x3.3x2.5_SMD","SW_SPST_PTS810",72.798000,-4.955037,-90.000000,top
"BZ1","1206_DIP_Buzzer","Buzzer_12x6RM7.6",81.500000,-15.400000,90.000000,top
"Battery1","Battery_Holder_1x18650_DIP","BatteryHolder_MPD_BH-18650-PC2",80.000000,-60.000000,180.000000,top
"C1","10uF","C_0603",13.369000,-7.450000,-90.000000,top
"C2","10uF","C_0603",13.364000,-25.173963,-90.000000,top
"C3","100nF","C_0603",16.230000,-25.948963,180.000000,top
"C4","1uF","C_0603",30.844000,-12.767537,0.000000,top
"C5","22nF","C_0603",28.169000,-23.542537,-90.000000,top
"C6","1uF","C_0603",30.069000,-23.542537,-90.000000,top
"C7","1uF","C_0603",45.369000,-23.542537,-90.000000,top
"C8","100nF","C_0603",47.069000,-23.542537,-90.000000,top
"C9","100nF","C_0603",43.274232,-10.767537,0.000000,top
"C10","100nF","C_0603",75.669000,-6.500000,-90.000000,top
"C11","100nF","C_0603",21.113833,-32.700000,180.000000,top
"C12","100nF","C_0603",40.027944,-32.700000,180.000000,top
"C13","100nF","C_0603",58.942055,-32.700000,180.000000,top
"C14","100nF","C_0603",77.856167,-32.700000,180.000000,top
"C15","100nF","C_0603",46.469000,-10.767537,0.000000,top
"IC1","DW01A","SOT23-6",21.069000,-24.639245,-90.000000,top
"J1","USB_B_Micro_5Ft_SMD_V1","USB_Micro-B",13.719000,-2.750000,180.000000,top
"J2","XH_2.54_6P_Vertical","XH_6P_2.54mm_Vertical",84.500000,-38.455037,90.000000,top
"Q1","N_Mosfet_SI2300","SOT23-3",73.608000,-11.455037,0.000000,top
"Q2","FS8205A","TSSOP-8",23.919000,-15.200000,-90.000000,top
"R1","0.5R","R_0603",15.020000,-7.450000,-90.000000,top
"R2","1K5","R_0603",15.409000,-21.600000,180.000000,top
"R3","1K5","R_0603",16.679000,-19.900000,180.000000,top
"R4","2K","R_0603",16.684000,-10.325000,180.000000,top
"R5","100R","R_0603",16.230000,-24.274963,0.000000,top
"R6","1K","R_0603",21.069000,-20.700000,90.000000,top
"R7","1K","R_0603",32.019000,-17.475000,-90.000000,top
"R8","3k3","R_0603",40.069000,-10.750000,0.000000,top
"R9","1K","R_0603",40.069000,-12.767537,180.000000,top
"R10","10K","R_0603",46.469000,-12.767537,0.000000,top
"R11","10K","R_0603",69.952885,-18.755037,180.000000,top
"R12","10K","R_0603",69.937885,-20.787037,0.000000,top
"R13","10K","R_0603",43.274232,-12.767537,180.000000,top
"R14","10K","R_0603",77.685000,-6.500000,90.000000,top
"R15","1M","R_0603",69.958000,-12.655037,0.000000,top
"R16","1K5","R_0603",46.469000,-14.767537,180.000000,top
"R17","1K5","R_0603",21.113833,-31.000000,180.000000,top
"R18","1K5","R_0603",40.027944,-31.000000,180.000000,top
"R19","1K5","R_0603",58.942055,-31.000000,180.000000,top
"R20","1K5","R_0603",77.856167,-31.000000,180.000000,top
"S2","Slide_Switch_SS-12F23G6","SS-12F23G6",33.069000,-5.100000,0.000000,top
"U1","ESP8266-ESP-12E","ESP8266-07__ESP32-C3-12F",50.073000,-7.767537,0.000000,top
"U2","RT9193-33GB","SOT23-5",29.119000,-17.112500,-90.000000,top
"U3","TP4056","TP4056",15.269000,-15.200000,-90.000000,top
