"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R11,R10,R14,R13,R12";"R_0603";5;"10K";;;
2;"C15,C14,C8,C3,C13,C12,C10,C9,C11";"C_0603";9;"100nF";;;
3;"BT6,BT5";"SW_SPST_PTS810";2;"SW_Push_4.2x3.3x2.5_SMD";;;
4;"IC1";"SOT23-6";1;"DW01A";;;
5;"R20,R2,R3,R19,R18,R16,R17";"R_0603";7;"1K5";;;
6;"R1";"R_0603";1;"0.5R";;;
7;"R7,R6,R9";"R_0603";3;"1K";;;
8;"R15";"R_0603";1;"1M";;;
9;"J2";"XH_6P_2.54mm_Vertical";1;"XH_2.54_6P_Vertical";;;
10;"C7,C6,C4";"C_0603";3;"1uF";;;
11;"U2";"SOT23-5";1;"RT9193-33GB";;;
12;"C5";"C_0603";1;"22nF";;;
13;"J1";"USB_Micro-B";1;"USB_B_Micro_5Ft_SMD_V1";;;
14;"Battery1";"BatteryHolder_MPD_BH-18650-PC2";1;"Battery_Holder_1x18650_DIP";;;
15;"S2";"SS-12F23G6";1;"Slide_Switch_SS-12F23G6";;;
16;"U1";"ESP8266-07__ESP32-C3-12F";1;"ESP8266-ESP-12E";;;
17;"C2,C1";"C_0603";2;"10uF";;;
18;"U3";"TP4056";1;"TP4056";;;
19;"Q1";"SOT23-3";1;"N_Mosfet_SI2300";;;
20;"R4";"R_0603";1;"2K";;;
21;"R5";"R_0603";1;"100R";;;
22;"Q2";"TSSOP-8";1;"FS8205A";;;
23;"BZ1";"Buzzer_12x6RM7.6";1;"1206_DIP_Buzzer";;;
24;"R8";"R_0603";1;"3k3";;;
25;"LE1,LE8,LE7,LE6,LE5";"LED_D3.0mm_Red";5;"Led_Green_3mm_DIP";;;
26;"BT3,BT1,BT2,BT4";"SW_Push_TactileSwitch_12x12mm_DIP";4;"SW_Push_B3F-4055_12x12x7.3_Omron";;;
27;"LE2,LE3";"LED_D3.0mm_Red";2;"Led_Red_3mm_DIP";;;
28;"LE4";"LED_D3.0mm_Red";1;"Led_Blue_3mm_DIP";;;
